Predictive Coding Final Training Log
Hyperparameters: epochs=100, batch_size=64, lr=0.0129
================================================================================
Epoch 077/100 | Train Energy: 0.0199 | Train Loss (BCE): 0.6699 | Train Acc: 0.6355 | Val Acc: 0.6369
Epoch 078/100 | Train Energy: 0.0197 | Train Loss (BCE): 0.6702 | Train Acc: 0.6392 | Val Acc: 0.6429
Epoch 079/100 | Train Energy: 0.0196 | Train Loss (BCE): 0.6709 | Train Acc: 0.6354 | Val Acc: 0.6387
Epoch 080/100 | Train Energy: 0.0195 | Train Loss (BCE): 0.6708 | Train Acc: 0.6346 | Val Acc: 0.6395
Epoch 081/100 | Train Energy: 0.0192 | Train Loss (BCE): 0.6717 | Train Acc: 0.6356 | Val Acc: 0.6374
Epoch 082/100 | Train Energy: 0.0190 | Train Loss (BCE): 0.6713 | Train Acc: 0.6381 | Val Acc: 0.6404
Epoch 083/100 | Train Energy: 0.0188 | Train Loss (BCE): 0.6730 | Train Acc: 0.6406 | Val Acc: 0.6438
Epoch 084/100 | Train Energy: 0.0187 | Train Loss (BCE): 0.6723 | Train Acc: 0.6360 | Val Acc: 0.6339
Epoch 085/100 | Train Energy: 0.0185 | Train Loss (BCE): 0.6725 | Train Acc: 0.6390 | Val Acc: 0.6395
Epoch 086/100 | Train Energy: 0.0183 | Train Loss (BCE): 0.6736 | Train Acc: 0.6336 | Val Acc: 0.6369
Epoch 087/100 | Train Energy: 0.0181 | Train Loss (BCE): 0.6729 | Train Acc: 0.6372 | Val Acc: 0.6357
Epoch 088/100 | Train Energy: 0.0180 | Train Loss (BCE): 0.6734 | Train Acc: 0.6388 | Val Acc: 0.6357
Epoch 089/100 | Train Energy: 0.0180 | Train Loss (BCE): 0.6741 | Train Acc: 0.6355 | Val Acc: 0.6361
Epoch 090/100 | Train Energy: 0.0177 | Train Loss (BCE): 0.6738 | Train Acc: 0.6370 | Val Acc: 0.6361
Epoch 091/100 | Train Energy: 0.0175 | Train Loss (BCE): 0.6740 | Train Acc: 0.6369 | Val Acc: 0.6335
Epoch 092/100 | Train Energy: 0.0174 | Train Loss (BCE): 0.6745 | Train Acc: 0.6375 | Val Acc: 0.6348
Epoch 093/100 | Train Energy: 0.0174 | Train Loss (BCE): 0.6748 | Train Acc: 0.6345 | Val Acc: 0.6284
Epoch 094/100 | Train Energy: 0.0172 | Train Loss (BCE): 0.6750 | Train Acc: 0.6369 | Val Acc: 0.6335
Epoch 095/100 | Train Energy: 0.0169 | Train Loss (BCE): 0.6763 | Train Acc: 0.6411 | Val Acc: 0.6412
Epoch 096/100 | Train Energy: 0.0171 | Train Loss (BCE): 0.6757 | Train Acc: 0.6361 | Val Acc: 0.6348
Epoch 097/100 | Train Energy: 0.0168 | Train Loss (BCE): 0.6765 | Train Acc: 0.6410 | Val Acc: 0.6404
Epoch 098/100 | Train Energy: 0.0168 | Train Loss (BCE): 0.6760 | Train Acc: 0.6367 | Val Acc: 0.6309
Epoch 099/100 | Train Energy: 0.0166 | Train Loss (BCE): 0.6761 | Train Acc: 0.6382 | Val Acc: 0.6327
Epoch 100/100 | Train Energy: 0.0164 | Train Loss (BCE): 0.6765 | Train Acc: 0.6398 | Val Acc: 0.6348
================================================================================
Best Val Acc: 0.6687 at epoch 4
