target,elo_diff,elo_hard_diff,rank_diff,rank_points_diff,elo_clay_diff,elo_grass_diff,age_diff,height_diff
0,-40.0396913443783,-47.14946572573331,-31.0,541.0,110.76879859571272,195.92630428853772,1.4000000000000021,-4.0
1,72.41350560088995,97.93486008146033,-15.0,288.0,-62.16124164304915,-76.84052447050112,2.6000000000000014,-8.0
1,159.26350111081592,29.406527533188637,-49.0,389.0,68.17588112244448,162.04891143993405,10.299999999999997,6.0
0,32.92468544076246,-46.09170704257417,-15.0,213.0,-30.491520843894705,-43.90571043453201,5.0,5.0
1,-102.47287167871832,-115.6804170731275,63.0,-548.0,-52.72728378210468,-14.794764933755232,-5.599999999999998,3.0
0,126.20518746849962,39.89060476893178,-16.0,245.0,172.54826101613594,-116.33942411439466,6.5,-5.0
1,-70.33770306521296,-22.79102675692411,18.0,-291.0,-95.26888795349873,-162.17505094233047,-1.8000000000000007,4.0
1,-168.04114789592086,-250.41407770912247,39.0,-343.0,92.9849970881346,-44.57287566619266,-0.3000000000000007,-10.0
0,-121.66951284843117,-90.72221137657334,30.0,-449.0,66.72762876981119,-78.63344869123443,-5.899999999999999,3.0
1,92.47207138604654,171.39392867867718,1.0,-1.0,-77.39663077111413,247.38609785014228,-0.5999999999999979,5.0
0,43.60117160946038,77.78213368051388,4.0,-22.0,-27.651975181368925,56.032711425109255,-3.6999999999999993,-8.0
1,323.98488020710465,384.93708297781245,-45.0,4317.0,269.2532846467677,152.76830860382165,-6.699999999999999,7.0
0,143.68315993217152,31.11209645563008,-60.0,476.0,177.79301871588837,-44.55878219411761,2.8999999999999986,-10.0
0,-116.42394922323138,-185.5777487773255,40.0,-353.0,65.99669149978354,-89.17039616583634,-9.200000000000003,3.0
1,331.2318534077135,276.4535925278517,-69.0,607.0,196.70119636143795,243.03778719989418,1.5,5.0
1,-182.98611367530293,-149.06246350098377,12.0,-185.0,-206.99283366860618,-119.6363215478907,2.1000000000000014,-13.0
0,-330.7923008427747,-274.50084820616576,40.0,-4285.0,-272.91119265073144,-140.8791408594982,9.900000000000002,-13.0
1,353.81581622346675,326.21415572006526,-47.0,4345.0,290.00207184568444,225.64234876804335,4.0,2.0
1,69.59032847229014,37.6683392639311,-49.0,366.0,65.07830835761456,58.59672749212291,-6.800000000000001,3.0
1,351.13283462071536,320.3570702255056,-27.0,4011.0,305.4842116445491,298.5688917434745,-5.800000000000001,13.0
0,117.60815937594657,73.87998680986834,-45.0,275.0,77.32473846334165,-75.14438194541913,0.3999999999999986,1.0
0,13.592088648578965,33.8058067885745,3.0,-85.0,64.51079414678475,-43.96531370978482,3.900000000000002,-16.0
0,-182.7194593623119,-167.385275878436,112.0,-636.0,-8.82877292544299,-189.21116723244677,-8.900000000000002,8.0
0,95.59852638559732,-6.024442659906526,-34.0,790.0,-37.9908637009064,75.29140148033866,-2.0,23.0
0,-82.14856074268414,-88.59510224968744,50.0,-368.0,26.66300026751901,-133.78624652370786,5.600000000000001,-8.0
0,112.50855268367286,78.874279697166,-66.0,616.0,64.54113586035055,59.83619091443097,4.0,-8.0
0,-7.370212739385806,5.742569276467293,17.0,-299.0,-10.736954663871757,81.94848603393189,-3.6999999999999993,-0.0
0,159.7174357813435,22.501575404458208,-46.0,382.0,244.05870365551618,24.24152431027119,2.3000000000000007,8.0
0,-419.82632025286875,-420.09714227642553,66.0,-2198.0,-102.52951333610804,-224.3562500509977,5.399999999999999,-11.0
1,120.42959116004727,116.16462423813186,-37.0,1059.0,111.4707114631583,118.95373010305434,-4.399999999999999,-16.0
0,70.13873449645871,14.930231300681726,76.0,-221.0,80.08222670938744,59.13226372408599,-3.6999999999999993,2.0
1,-171.5981335983936,-118.51584836167126,-18.0,350.0,78.98899252018577,-68.33159228590671,-2.9999999999999964,10.0
1,12.625159275418582,46.30363211627173,38.0,-187.0,-30.405027641548713,-76.26182162411237,-6.5,13.0
1,8.231846814457867,8.22596143576834,17.0,-69.0,25.275178402003576,-66.26208890848943,-6.300000000000001,11.0
0,36.93451546798633,-23.800853975564223,-497.0,628.0,-3.2918423334672298,43.04367850524295,8.7,-2.0
0,-541.4086057606175,-426.2464938379221,56.0,-12320.0,-613.6982169684436,-362.11905220114204,-6.400000000000002,11.0
0,11.546846765899772,98.42327766468725,59.0,-242.0,-90.12274723764244,75.27897027679205,-8.0,-10.0
0,16.42615720108779,-46.20464098738353,-102.0,363.0,-85.10205686356153,94.23236516687211,13.8,-15.0
1,285.4995144100826,234.52307240778396,-78.0,741.0,218.58738374833774,139.22051264121342,5.699999999999999,8.0
0,-141.72990498606623,-82.16922264017512,120.0,-558.0,47.60225865423604,-21.287628521883335,-1.5,-2.0
0,-435.1068029285,-452.8820256377344,60.0,-2371.0,-268.76923248346793,-285.8212537749621,3.599999999999998,-5.0
0,-160.6172844633129,-110.28756141800477,28.0,-150.0,10.414835308225747,-90.36518439594693,0.3000000000000007,-8.0
0,-239.73408872362552,-117.61162156353316,220.0,-1053.0,-290.5561457761112,-242.57853307307118,-6.600000000000001,-0.0
0,-558.9268300095953,-485.5630171371158,125.0,-4987.0,-288.52565199433593,-332.19369847505095,-2.5,-13.0
1,526.9229192731846,440.02733398968894,-108.0,5062.0,290.1887074014844,469.60994509607985,-2.6999999999999993,13.0
0,60.1952179644918,-9.259216970427815,-128.0,240.0,93.03604922760428,-24.44885867621133,0.20000000000000284,7.0
1,-152.21032567688417,-139.72033537237849,42.0,-150.0,13.668993480017207,-82.51362988771666,-0.10000000000000142,3.0
0,-206.191141785642,-99.52822292303745,70.0,-731.0,-73.90072110621145,-159.6911680895155,-3.3999999999999986,-8.0
